Year,Agency ,Country,Area,Category,Sector,Amount
2009,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Social Services,"400,000.00"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,Family Planning and Reproductive Health,"20,426,160.13"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,Maternal and Child Health,"25,376,857.93"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,Other Public Health Threats,"2,330,000.00"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,Tuberculosis,"1,500,000.00"
2009,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Good Governance,"2,617,663.20"
2009,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,"1,528,253.55"
2009,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"114,669.65"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"23,964,143.51"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Economic Opportunity,"7,140,701.41"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"6,993,873.71"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Private Sector Competitiveness,"10,967,949.50"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Trade and Investment,"7,334,635.89"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Basic Education,"8,021,124.60"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Education and Social Services,Social Services,"2,500,000.00"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Environment,Natural Resources and Biodiversity,"9,751,514.70"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Health,Water Supply and Sanitation,"1,791,589.23"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Peace and Security,Counter-Narcotics,"26,169,683.26"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Program Management,Monitoring and Evaluation,"5,072,742.26"
2009,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Civil Society,"4,923,021.61"
2009,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Good Governance,"320,407,404.31"
2009,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,"74,133,611.38"
2009,USAID,Afghanistan,Afghanistan & Pakistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,"12,772,462.78"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Agriculture,"43,652,439.31"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Economic Opportunity,"17,054,705.43"
2009,USAID,Afghanistan,Afghanistan & Pakistan,Economic Development,Infrastructure,"367,326,746.49"
